2018-03-13 23:56:13 startup archives unpack
2018-03-13 23:56:13 install libssl1.0.2:amd64 <none> 1.0.2l-2+deb9u2
2018-03-13 23:56:13 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2018-03-13 23:56:13 status half-installed libssl1.0.2:amd64 1.0.2l-2+deb9u2
2018-03-13 23:56:14 status unpacked libssl1.0.2:amd64 1.0.2l-2+deb9u2
2018-03-13 23:56:14 status unpacked libssl1.0.2:amd64 1.0.2l-2+deb9u2
2018-03-13 23:56:14 install libssl1.1:amd64 <none> 1.1.0f-3+deb9u1
2018-03-13 23:56:14 status half-installed libssl1.1:amd64 1.1.0f-3+deb9u1
2018-03-13 23:56:14 status unpacked libssl1.1:amd64 1.1.0f-3+deb9u1
2018-03-13 23:56:14 status unpacked libssl1.1:amd64 1.1.0f-3+deb9u1
2018-03-13 23:56:14 install libgmp10:amd64 <none> 2:6.1.2+dfsg-1
2018-03-13 23:56:14 status half-installed libgmp10:amd64 2:6.1.2+dfsg-1
2018-03-13 23:56:14 status unpacked libgmp10:amd64 2:6.1.2+dfsg-1
2018-03-13 23:56:14 status unpacked libgmp10:amd64 2:6.1.2+dfsg-1
2018-03-13 23:56:14 install libnettle6:amd64 <none> 3.3-1+b2
2018-03-13 23:56:14 status half-installed libnettle6:amd64 3.3-1+b2
2018-03-13 23:56:14 status unpacked libnettle6:amd64 3.3-1+b2
2018-03-13 23:56:14 status unpacked libnettle6:amd64 3.3-1+b2
2018-03-13 23:56:14 install libhogweed4:amd64 <none> 3.3-1+b2
2018-03-13 23:56:14 status half-installed libhogweed4:amd64 3.3-1+b2
2018-03-13 23:56:14 status unpacked libhogweed4:amd64 3.3-1+b2
2018-03-13 23:56:14 status unpacked libhogweed4:amd64 3.3-1+b2
2018-03-13 23:56:14 install libidn11:amd64 <none> 1.33-1
2018-03-13 23:56:14 status half-installed libidn11:amd64 1.33-1
2018-03-13 23:56:14 status unpacked libidn11:amd64 1.33-1
2018-03-13 23:56:14 status unpacked libidn11:amd64 1.33-1
2018-03-13 23:56:14 install libffi6:amd64 <none> 3.2.1-6
2018-03-13 23:56:14 status half-installed libffi6:amd64 3.2.1-6
2018-03-13 23:56:14 status unpacked libffi6:amd64 3.2.1-6
2018-03-13 23:56:14 status unpacked libffi6:amd64 3.2.1-6
2018-03-13 23:56:14 install libp11-kit0:amd64 <none> 0.23.3-2
2018-03-13 23:56:14 status half-installed libp11-kit0:amd64 0.23.3-2
2018-03-13 23:56:14 status unpacked libp11-kit0:amd64 0.23.3-2
2018-03-13 23:56:14 status unpacked libp11-kit0:amd64 0.23.3-2
2018-03-13 23:56:14 install libtasn1-6:amd64 <none> 4.10-1.1+deb9u1
2018-03-13 23:56:14 status half-installed libtasn1-6:amd64 4.10-1.1+deb9u1
2018-03-13 23:56:14 status unpacked libtasn1-6:amd64 4.10-1.1+deb9u1
2018-03-13 23:56:14 status unpacked libtasn1-6:amd64 4.10-1.1+deb9u1
2018-03-13 23:56:14 install libgnutls30:amd64 <none> 3.5.8-5+deb9u3
2018-03-13 23:56:14 status half-installed libgnutls30:amd64 3.5.8-5+deb9u3
2018-03-13 23:56:14 status unpacked libgnutls30:amd64 3.5.8-5+deb9u3
2018-03-13 23:56:14 status unpacked libgnutls30:amd64 3.5.8-5+deb9u3
2018-03-13 23:56:14 install libunistring0:amd64 <none> 0.9.6+really0.9.3-0.1
2018-03-13 23:56:14 status half-installed libunistring0:amd64 0.9.6+really0.9.3-0.1
2018-03-13 23:56:14 status unpacked libunistring0:amd64 0.9.6+really0.9.3-0.1
2018-03-13 23:56:14 status unpacked libunistring0:amd64 0.9.6+really0.9.3-0.1
2018-03-13 23:56:14 install libidn2-0:amd64 <none> 0.16-1+deb9u1
2018-03-13 23:56:14 status half-installed libidn2-0:amd64 0.16-1+deb9u1
2018-03-13 23:56:14 status unpacked libidn2-0:amd64 0.16-1+deb9u1
2018-03-13 23:56:14 status unpacked libidn2-0:amd64 0.16-1+deb9u1
2018-03-13 23:56:14 install libpsl5:amd64 <none> 0.17.0-3
2018-03-13 23:56:14 status half-installed libpsl5:amd64 0.17.0-3
2018-03-13 23:56:14 status unpacked libpsl5:amd64 0.17.0-3
2018-03-13 23:56:14 status unpacked libpsl5:amd64 0.17.0-3
2018-03-13 23:56:14 install wget:amd64 <none> 1.18-5+deb9u1
2018-03-13 23:56:14 status half-installed wget:amd64 1.18-5+deb9u1
2018-03-13 23:56:14 status unpacked wget:amd64 1.18-5+deb9u1
2018-03-13 23:56:14 status unpacked wget:amd64 1.18-5+deb9u1
2018-03-13 23:56:14 install libkeyutils1:amd64 <none> 1.5.9-9
2018-03-13 23:56:14 status half-installed libkeyutils1:amd64 1.5.9-9
2018-03-13 23:56:14 status unpacked libkeyutils1:amd64 1.5.9-9
2018-03-13 23:56:14 status unpacked libkeyutils1:amd64 1.5.9-9
2018-03-13 23:56:14 install libkrb5support0:amd64 <none> 1.15-1+deb9u1
2018-03-13 23:56:14 status half-installed libkrb5support0:amd64 1.15-1+deb9u1
2018-03-13 23:56:14 status unpacked libkrb5support0:amd64 1.15-1+deb9u1
2018-03-13 23:56:14 status unpacked libkrb5support0:amd64 1.15-1+deb9u1
2018-03-13 23:56:14 install libk5crypto3:amd64 <none> 1.15-1+deb9u1
2018-03-13 23:56:14 status half-installed libk5crypto3:amd64 1.15-1+deb9u1
2018-03-13 23:56:14 status unpacked libk5crypto3:amd64 1.15-1+deb9u1
2018-03-13 23:56:14 status unpacked libk5crypto3:amd64 1.15-1+deb9u1
2018-03-13 23:56:14 install libkrb5-3:amd64 <none> 1.15-1+deb9u1
2018-03-13 23:56:14 status half-installed libkrb5-3:amd64 1.15-1+deb9u1
2018-03-13 23:56:14 status unpacked libkrb5-3:amd64 1.15-1+deb9u1
2018-03-13 23:56:14 status unpacked libkrb5-3:amd64 1.15-1+deb9u1
2018-03-13 23:56:14 install libgssapi-krb5-2:amd64 <none> 1.15-1+deb9u1
2018-03-13 23:56:14 status half-installed libgssapi-krb5-2:amd64 1.15-1+deb9u1
2018-03-13 23:56:14 status unpacked libgssapi-krb5-2:amd64 1.15-1+deb9u1
2018-03-13 23:56:14 status unpacked libgssapi-krb5-2:amd64 1.15-1+deb9u1
2018-03-13 23:56:14 install libsasl2-modules-db:amd64 <none> 2.1.27~101-g0780600+dfsg-3
2018-03-13 23:56:14 status half-installed libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2018-03-13 23:56:14 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2018-03-13 23:56:14 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2018-03-13 23:56:14 install libsasl2-2:amd64 <none> 2.1.27~101-g0780600+dfsg-3
2018-03-13 23:56:14 status half-installed libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2018-03-13 23:56:15 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2018-03-13 23:56:15 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2018-03-13 23:56:15 install libldap-common:all <none> 2.4.44+dfsg-5+deb9u1
2018-03-13 23:56:15 status half-installed libldap-common:all 2.4.44+dfsg-5+deb9u1
2018-03-13 23:56:15 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u1
2018-03-13 23:56:15 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u1
2018-03-13 23:56:15 install libldap-2.4-2:amd64 <none> 2.4.44+dfsg-5+deb9u1
2018-03-13 23:56:15 status half-installed libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u1
2018-03-13 23:56:15 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u1
2018-03-13 23:56:15 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u1
2018-03-13 23:56:15 install openssl:amd64 <none> 1.1.0f-3+deb9u1
2018-03-13 23:56:15 status half-installed openssl:amd64 1.1.0f-3+deb9u1
2018-03-13 23:56:15 status unpacked openssl:amd64 1.1.0f-3+deb9u1
2018-03-13 23:56:15 status unpacked openssl:amd64 1.1.0f-3+deb9u1
2018-03-13 23:56:15 install ca-certificates:all <none> 20161130+nmu1
2018-03-13 23:56:15 status half-installed ca-certificates:all 20161130+nmu1
2018-03-13 23:56:15 status unpacked ca-certificates:all 20161130+nmu1
2018-03-13 23:56:15 status unpacked ca-certificates:all 20161130+nmu1
2018-03-13 23:56:15 install libnghttp2-14:amd64 <none> 1.18.1-1
2018-03-13 23:56:15 status half-installed libnghttp2-14:amd64 1.18.1-1
2018-03-13 23:56:15 status unpacked libnghttp2-14:amd64 1.18.1-1
2018-03-13 23:56:15 status unpacked libnghttp2-14:amd64 1.18.1-1
2018-03-13 23:56:15 install librtmp1:amd64 <none> 2.4+20151223.gitfa8646d.1-1+b1
2018-03-13 23:56:15 status half-installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2018-03-13 23:56:15 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2018-03-13 23:56:15 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2018-03-13 23:56:15 install libssh2-1:amd64 <none> 1.7.0-1
2018-03-13 23:56:15 status half-installed libssh2-1:amd64 1.7.0-1
2018-03-13 23:56:15 status unpacked libssh2-1:amd64 1.7.0-1
2018-03-13 23:56:15 status unpacked libssh2-1:amd64 1.7.0-1
2018-03-13 23:56:15 install libcurl3:amd64 <none> 7.52.1-5+deb9u4
2018-03-13 23:56:15 status half-installed libcurl3:amd64 7.52.1-5+deb9u4
2018-03-13 23:56:15 status unpacked libcurl3:amd64 7.52.1-5+deb9u4
2018-03-13 23:56:15 status unpacked libcurl3:amd64 7.52.1-5+deb9u4
2018-03-13 23:56:15 install curl:amd64 <none> 7.52.1-5+deb9u4
2018-03-13 23:56:15 status half-installed curl:amd64 7.52.1-5+deb9u4
2018-03-13 23:56:15 status unpacked curl:amd64 7.52.1-5+deb9u4
2018-03-13 23:56:15 status unpacked curl:amd64 7.52.1-5+deb9u4
2018-03-13 23:56:15 startup packages configure
2018-03-13 23:56:15 configure libnettle6:amd64 3.3-1+b2 <none>
2018-03-13 23:56:15 status unpacked libnettle6:amd64 3.3-1+b2
2018-03-13 23:56:15 status half-configured libnettle6:amd64 3.3-1+b2
2018-03-13 23:56:15 status installed libnettle6:amd64 3.3-1+b2
2018-03-13 23:56:15 configure libnghttp2-14:amd64 1.18.1-1 <none>
2018-03-13 23:56:15 status unpacked libnghttp2-14:amd64 1.18.1-1
2018-03-13 23:56:15 status half-configured libnghttp2-14:amd64 1.18.1-1
2018-03-13 23:56:15 status installed libnghttp2-14:amd64 1.18.1-1
2018-03-13 23:56:15 configure libldap-common:all 2.4.44+dfsg-5+deb9u1 <none>
2018-03-13 23:56:15 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u1
2018-03-13 23:56:15 status unpacked libldap-common:all 2.4.44+dfsg-5+deb9u1
2018-03-13 23:56:15 status half-configured libldap-common:all 2.4.44+dfsg-5+deb9u1
2018-03-13 23:56:15 status installed libldap-common:all 2.4.44+dfsg-5+deb9u1
2018-03-13 23:56:15 configure libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3 <none>
2018-03-13 23:56:15 status unpacked libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2018-03-13 23:56:15 status half-configured libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2018-03-13 23:56:15 status installed libsasl2-modules-db:amd64 2.1.27~101-g0780600+dfsg-3
2018-03-13 23:56:15 configure libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3 <none>
2018-03-13 23:56:15 status unpacked libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2018-03-13 23:56:15 status half-configured libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2018-03-13 23:56:15 status installed libsasl2-2:amd64 2.1.27~101-g0780600+dfsg-3
2018-03-13 23:56:15 configure libtasn1-6:amd64 4.10-1.1+deb9u1 <none>
2018-03-13 23:56:15 status unpacked libtasn1-6:amd64 4.10-1.1+deb9u1
2018-03-13 23:56:15 status half-configured libtasn1-6:amd64 4.10-1.1+deb9u1
2018-03-13 23:56:15 status installed libtasn1-6:amd64 4.10-1.1+deb9u1
2018-03-13 23:56:15 configure libssl1.0.2:amd64 1.0.2l-2+deb9u2 <none>
2018-03-13 23:56:15 status unpacked libssl1.0.2:amd64 1.0.2l-2+deb9u2
2018-03-13 23:56:15 status half-configured libssl1.0.2:amd64 1.0.2l-2+deb9u2
2018-03-13 23:56:15 status installed libssl1.0.2:amd64 1.0.2l-2+deb9u2
2018-03-13 23:56:15 configure libgmp10:amd64 2:6.1.2+dfsg-1 <none>
2018-03-13 23:56:15 status unpacked libgmp10:amd64 2:6.1.2+dfsg-1
2018-03-13 23:56:15 status half-configured libgmp10:amd64 2:6.1.2+dfsg-1
2018-03-13 23:56:15 status installed libgmp10:amd64 2:6.1.2+dfsg-1
2018-03-13 23:56:15 configure libssh2-1:amd64 1.7.0-1 <none>
2018-03-13 23:56:15 status unpacked libssh2-1:amd64 1.7.0-1
2018-03-13 23:56:15 status half-configured libssh2-1:amd64 1.7.0-1
2018-03-13 23:56:15 status installed libssh2-1:amd64 1.7.0-1
2018-03-13 23:56:15 trigproc libc-bin:amd64 2.24-11+deb9u3 <none>
2018-03-13 23:56:15 status half-configured libc-bin:amd64 2.24-11+deb9u3
2018-03-13 23:56:15 status installed libc-bin:amd64 2.24-11+deb9u3
2018-03-13 23:56:15 configure libunistring0:amd64 0.9.6+really0.9.3-0.1 <none>
2018-03-13 23:56:15 status triggers-pending libc-bin:amd64 2.24-11+deb9u3
2018-03-13 23:56:15 status unpacked libunistring0:amd64 0.9.6+really0.9.3-0.1
2018-03-13 23:56:15 status half-configured libunistring0:amd64 0.9.6+really0.9.3-0.1
2018-03-13 23:56:15 status installed libunistring0:amd64 0.9.6+really0.9.3-0.1
2018-03-13 23:56:16 configure libssl1.1:amd64 1.1.0f-3+deb9u1 <none>
2018-03-13 23:56:16 status unpacked libssl1.1:amd64 1.1.0f-3+deb9u1
2018-03-13 23:56:16 status half-configured libssl1.1:amd64 1.1.0f-3+deb9u1
2018-03-13 23:56:16 status installed libssl1.1:amd64 1.1.0f-3+deb9u1
2018-03-13 23:56:16 configure openssl:amd64 1.1.0f-3+deb9u1 <none>
2018-03-13 23:56:16 status unpacked openssl:amd64 1.1.0f-3+deb9u1
2018-03-13 23:56:16 status unpacked openssl:amd64 1.1.0f-3+deb9u1
2018-03-13 23:56:16 status half-configured openssl:amd64 1.1.0f-3+deb9u1
2018-03-13 23:56:16 status installed openssl:amd64 1.1.0f-3+deb9u1
2018-03-13 23:56:16 configure libffi6:amd64 3.2.1-6 <none>
2018-03-13 23:56:16 status unpacked libffi6:amd64 3.2.1-6
2018-03-13 23:56:16 status half-configured libffi6:amd64 3.2.1-6
2018-03-13 23:56:16 status installed libffi6:amd64 3.2.1-6
2018-03-13 23:56:16 configure libkeyutils1:amd64 1.5.9-9 <none>
2018-03-13 23:56:16 status unpacked libkeyutils1:amd64 1.5.9-9
2018-03-13 23:56:16 status half-configured libkeyutils1:amd64 1.5.9-9
2018-03-13 23:56:16 status installed libkeyutils1:amd64 1.5.9-9
2018-03-13 23:56:16 configure ca-certificates:all 20161130+nmu1 <none>
2018-03-13 23:56:16 status unpacked ca-certificates:all 20161130+nmu1
2018-03-13 23:56:16 status half-configured ca-certificates:all 20161130+nmu1
2018-03-13 23:56:18 status installed ca-certificates:all 20161130+nmu1
2018-03-13 23:56:18 status triggers-pending ca-certificates:all 20161130+nmu1
2018-03-13 23:56:18 configure libidn11:amd64 1.33-1 <none>
2018-03-13 23:56:18 status unpacked libidn11:amd64 1.33-1
2018-03-13 23:56:18 status half-configured libidn11:amd64 1.33-1
2018-03-13 23:56:18 status installed libidn11:amd64 1.33-1
2018-03-13 23:56:18 configure libidn2-0:amd64 0.16-1+deb9u1 <none>
2018-03-13 23:56:18 status unpacked libidn2-0:amd64 0.16-1+deb9u1
2018-03-13 23:56:18 status half-configured libidn2-0:amd64 0.16-1+deb9u1
2018-03-13 23:56:18 status installed libidn2-0:amd64 0.16-1+deb9u1
2018-03-13 23:56:18 configure libpsl5:amd64 0.17.0-3 <none>
2018-03-13 23:56:18 status unpacked libpsl5:amd64 0.17.0-3
2018-03-13 23:56:18 status half-configured libpsl5:amd64 0.17.0-3
2018-03-13 23:56:18 status installed libpsl5:amd64 0.17.0-3
2018-03-13 23:56:18 configure libkrb5support0:amd64 1.15-1+deb9u1 <none>
2018-03-13 23:56:18 status unpacked libkrb5support0:amd64 1.15-1+deb9u1
2018-03-13 23:56:18 status half-configured libkrb5support0:amd64 1.15-1+deb9u1
2018-03-13 23:56:18 status installed libkrb5support0:amd64 1.15-1+deb9u1
2018-03-13 23:56:18 configure libhogweed4:amd64 3.3-1+b2 <none>
2018-03-13 23:56:18 status unpacked libhogweed4:amd64 3.3-1+b2
2018-03-13 23:56:18 status half-configured libhogweed4:amd64 3.3-1+b2
2018-03-13 23:56:18 status installed libhogweed4:amd64 3.3-1+b2
2018-03-13 23:56:18 configure libp11-kit0:amd64 0.23.3-2 <none>
2018-03-13 23:56:18 status unpacked libp11-kit0:amd64 0.23.3-2
2018-03-13 23:56:18 status half-configured libp11-kit0:amd64 0.23.3-2
2018-03-13 23:56:18 status installed libp11-kit0:amd64 0.23.3-2
2018-03-13 23:56:18 configure libk5crypto3:amd64 1.15-1+deb9u1 <none>
2018-03-13 23:56:18 status unpacked libk5crypto3:amd64 1.15-1+deb9u1
2018-03-13 23:56:18 status half-configured libk5crypto3:amd64 1.15-1+deb9u1
2018-03-13 23:56:18 status installed libk5crypto3:amd64 1.15-1+deb9u1
2018-03-13 23:56:18 configure libgnutls30:amd64 3.5.8-5+deb9u3 <none>
2018-03-13 23:56:18 status unpacked libgnutls30:amd64 3.5.8-5+deb9u3
2018-03-13 23:56:18 status half-configured libgnutls30:amd64 3.5.8-5+deb9u3
2018-03-13 23:56:18 status installed libgnutls30:amd64 3.5.8-5+deb9u3
2018-03-13 23:56:18 configure librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1 <none>
2018-03-13 23:56:18 status unpacked librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2018-03-13 23:56:18 status half-configured librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2018-03-13 23:56:18 status installed librtmp1:amd64 2.4+20151223.gitfa8646d.1-1+b1
2018-03-13 23:56:18 configure libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u1 <none>
2018-03-13 23:56:18 status unpacked libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u1
2018-03-13 23:56:18 status half-configured libldap-2.4-2:amd64 2.4.44+dfsg-5+deb9u1
